code,title,weight,source
OCR 3.2f,Reproductive Infertility Technologies,1.94,B3.2f
OCR 3.2g,Plant Auxins & Tropisms,2.14,B3.2g
OCR 3.2h,"Auxins, Gibberellins, and Ethene",1.81,B3.2h
OCR 3.2i,Commercial Use of Plant Hormones,1.39,B3.2i
OCR 3.3a,Importance of Homeostasis,1.77,B3.3a
OCR 3.3b,Skin and Thermoregulation,2.17,B3.3b
OCR 3.3c,Insulin Regulation of Blood Glucose,1.95,B3.3c
OCR 3.3d,Glucagon and Insulin Interactions,2.17,B3.3d
OCR 3.3e,Type 1 vs Type 2 Diabetes,1.8,B3.3e
OCR 3.3f,Osmotic Changes in Body Fluids,2.17,B3.3f
OCR 3.3g,Kidneys and Water Balance,2.32,B3.3g
OCR 3.3h,Structure of Kidney Tubules,1.3,B3.3h
OCR 3.3i,ADH Permeability Feedback,1.77,B3.3i
OCR 3.3j,Osmotic and Temperature Challenges,2.32,B3.3j
OCR 4.1a,Abiotic and Biotic Cycles,1.1,B4.1a
OCR 4.1b,Microorganisms and Decomposition,2.1,B4.1b
OCR 4.1c,Carbon and Water Cycles,1.81,B4.1c
OCR 4.1d,Factors Affecting Decomposition,3.43,B4.1d
OCR 4.1e,Ecosystem Organisation Levels,1.55,B4.1e
OCR 4.1f,Abiotic and Biotic Factors on Communities,2.89,B4.1f
OCR 4.1g,Interdependence and Competition,1.99,B4.1g
OCR 4.1h,Trophic Levels Differences,1.43,B4.1h
OCR 4.1i,Pyramids of Biomass,2.24,B4.1i
OCR 4.1j,Biomass Transfer Efficiency,2.25,B4.1j
OCR 5.1a,Genetic Terminology Nomenclature,1.7,B5.1a
OCR 5.1b,Genome Definition,1.3,B5.1b
OCR 5.1c,Genome-Environment Interaction,1.5,B5.1c
OCR 5.1d,Mutations and Phenotypic Impact,1.1,B5.1d
OCR 5.1e,Coding and Non-Coding Variants,2.98,B5.1e
OCR 5.1f,Reproduction Advantages & Disadvantages,2.14,B5.1f
OCR 5.1g,Haploid and Diploid Terms,1.7,B5.1g
OCR 5.1h,Meiotic Cell Division,1.81,B5.1h
OCR 5.1i,Single Gene Inheritance,2.51,B5.1i
OCR 5.1j,Predicting Cross Outcomes,2.9,B5.1j
OCR 5.1k,Human Sex Determination,2.3,B5.1k
OCR 5.1l,Polygenic Phenotypic Features,1.1,B5.1l
OCR 5.1m,Development of Genetics (Mendel),1.3,B5.1m
OCR 5.2a,Genetic Variation in Populations,1.0,B5.2a
OCR 5.2b,Developments in Classification Systems,1.3,B5.2b
OCR 5.2c,Evolution via Natural Selection,1.7,B5.2c
OCR 5.2d,Speciation and Population Shift,1.39,B5.2d
OCR 5.2e,Evidence for Evolution,1.3,B5.2e
OCR 5.2f,Darwin and Wallace Theories,1.7,B5.2f
OCR 6.1a,Field Investigation and Sampling,4.01,B6.1a
OCR 6.1b,Human Impact on Biodiversity,2.1,B6.1b
OCR 6.1c,Maintaining Local and Global Biodiversity,1.83,B6.1c
OCR 6.1d,Environmental Changes Distribution,2.1,B6.1d
OCR 6.2a,Biological Food Security Factors,1.98,B6.2a
OCR 6.2b,Agricultural Solutions,1.34,B6.2b
OCR 6.2c,Selective Breeding Impact,2.45,B6.2c
OCR 6.2d,Genetic Engineering Definition,1.3,B6.2d
OCR 6.2e,Steps in Genetic Engineering,1.52,B6.2e
OCR 6.2f,Benefits and Risks of Gene Technology,1.99,B6.2f
OCR 6.2g,Biotechnological Solutions,2.23,B6.2g
OCR 6.3a,Health and Disease Relationship,1.3,B6.3a
OCR 6.3b,Communicable vs Non-Communicable Diseases,1.3,B6.3b
OCR 6.3c,Interactions Between Different Diseases,1.55,B6.3c
OCR 6.3d,Spread of Communicable Pathogens,2.38,B6.3d
OCR 6.3e,Preventing Disease Transmission,2.04,B6.3e
OCR 6.3f,Common Infections examples,1.79,B6.3f
OCR 6.3g,Physical Plant Defences,1.3,B6.3g
OCR 6.3h,Chemical Plant Defences,1.3,B6.3h
OCR 6.3i,Plant Disease Detection methods,1.57,B6.3i
OCR 6.3j,White Blood Cell Adaptations,1.7,B6.3j
OCR 6.3k,Non-Specific Defence Systems,1.3,B6.3k
OCR 6.3l,The Immune System,1.7,B6.3l
OCR 6.3m,Monoclonal Antibody Production,1.3,B6.3m
OCR 6.3n,Monoclonal Antibody Applications,1.46,B6.3n
OCR 6.3o,Vaccines and Medicines,1.77,B6.3o
OCR 6.3p,Aseptic Techniques for Culturing,2.87,B6.3p
OCR 6.3q,Discovery and Clinical Testing of Medicines,2.27,B6.3q
OCR 6.3r,Multifactorial Non-Communicable Diseases,1.39,B6.3r
OCR 6.3s,Cardiovascular Disease Treatments,2.6,B6.3s
OCR 6.3t,Lifestyle Factors on Disease,2.88,B6.3t
OCR 6.3u,Cancer Definition,1.3,B6.3u
OCR 6.3v,Stem Cells in Medicine,1.9,B6.3v
OCR 6.3w,Gene Technology in Medicine,1.7,B6.3w
OCR 6.3x,Understanding the Human Genome,2.19,B6.3x
OCR 7.1,Using Microscopes and Preparing Slides,3.5,practical activity group
OCR 7.2,Investigating Osmosis in Plant Tissue,3.5,practical activity group
OCR 7.3,"Food Tests (Sugars, Starch, Protein, Lipids)",3.5,practical activity group
OCR 7.4,Investigating Enzyme Activity,3.5,practical activity group
OCR 7.5,Investigating Photosynthesis and Rate,3.5,practical activity group
OCR 7.6,Sampling Techniques and Field Investigations,3.5,practical activity group
OCR 7.7,Investigating the Effect of Antimicrobials/Disinfectants,3.5,practical activity group
OCR 7.8,Investigating Respiration and Gas Exchange,3.5,practical activity group
OCR 7.9,"Handling Data, Variables and Practical Safety",3.5,practical activity group
