code,title,weight,source
IGCSE 2.37,know the word equation and the balanced chemical symbol equation for aerobic respiration i,1.05,2.37
IGCSE 2.38,know the word equation for anaerobic respiration in plants and in animals,1.05,2.38
IGCSE 2.39,practical: investigate the evolution of carbon dioxide and heat from respiring seeds or ot,4.4,2.39
IGCSE 2.40B,understand the role of diffusion in gas exchange,1.4,2.40B
IGCSE 2.41B,understand gas exchange (of carbon dioxide and oxygen) in relation to respiration and phot,1.4,2.41B
IGCSE 2.42B,understand how the structure of the leaf is adapted for gas exchange,1.4,2.42B
IGCSE 2.43B,describe the role of stomata in gas exchange,1.3,2.43B
IGCSE 2.44B,"understand how respiration continues during the day and night, but that the net exchange o",1.4,2.44B
IGCSE 2.45B,"practical: investigate the effect of light on net gas exchange from a leaf, using hydrogen",4.4,2.45B
IGCSE 2.46,"describe the structure of the thorax, including the ribs, intercostal muscles, diaphragm, ",1.3,2.46
IGCSE 2.47,understand the role of the intercostal muscles and the diaphragm in ventilation,1.4,2.47
IGCSE 2.48,explain how alveoli are adapted for gas exchange by diffusion between air in the lungs and,1.7,2.48
IGCSE 2.49,understand the biological consequences of smoking in relation to the lungs and the circula,1.4,2.49
IGCSE 2.50,"practical: investigate breathing in humans, including the release of carbon dioxide and th",4.4,2.50
IGCSE 2.51,"understand why simple, unicellular organisms can rely on diffusion for movement of substan",1.4,2.51
IGCSE 2.52,understand the need for a transport system in multicellular organisms Flowering plants,1.4,2.52
IGCSE 2.53,describe the role of phloem in transporting sucrose and amino acids between the leaves and,1.3,2.53
IGCSE 2.54,describe the role of xylem in transporting water and mineral ions from the roots to other ,1.3,2.54
IGCSE 2.55B,understand how water is absorbed by root hair cells,1.4,2.55B
IGCSE 2.56B,understand that transpiration is the evaporation of water from the surface of a plant,1.4,2.56B
IGCSE 2.57B,"understand how the rate of transpiration is affected by changes in humidity, wind speed, t",1.4,2.57B
IGCSE 2.58B,practical: investigate the role of environmental factors in determining the rate of transp,4.4,2.58B
IGCSE 2.59,"describe the composition of the blood: red blood cells, white blood cells, platelets and p",1.3,2.59
IGCSE 2.60,"understand the role of plasma in the transport of carbon dioxide, digested food, urea, hor",1.4,2.60
IGCSE 2.61,understand how adaptations of red blood cells make them suitable for the transport of oxyg,1.44,2.61
IGCSE 2.62,"understand how the immune system responds to disease using white blood cells, illustrated ",1.4,2.62
IGCSE 2.63B,"understand how vaccination results in the manufacture of memory cells, which enable future",1.42,2.63B
IGCSE 2.64B,"understand how platelets are involved in blood clotting, which prevents blood loss and the",1.4,2.64B
IGCSE 2.65,describe the structure of the heart and how it functions,1.3,2.65
IGCSE 2.66,explain how the heart rate changes during exercise and under the influence of adrenaline,1.7,2.66
IGCSE 2.67,understand how factors may increase the risk of developing coronary heart disease,1.4,2.67
IGCSE 2.68,"understand how the structure of arteries, veins and capillaries relate to their function",1.4,2.68
IGCSE 2.69,"understand the general structure of the circulation system, including the blood vessels to",1.4,2.69
IGCSE 2.70,understand the origin of carbon dioxide and oxygen as waste products of metabolism and the,1.4,2.70
IGCSE 2.71,"know the excretory products of the lungs, kidneys and skin (organs of excretion)",1.05,2.71
IGCSE 2.72B,understand how the kidney carries out its roles of excretion and osmoregulation,1.4,2.72B
IGCSE 2.73B,"describe the structure of the urinary system, including the kidneys, ureters, bladder and ",1.3,2.73B
IGCSE 2.74B,"describe the structure of a nephron, including the Bowman’s capsule and glomerulus, convol",1.3,2.74B
IGCSE 2.75B,describe ultrafiltration in the Bowman’s capsule and the composition of the glomerular fil,1.3,2.75B
IGCSE 2.76B,understand how water is reabsorbed into the blood from the collecting duct,1.4,2.76B
IGCSE 2.77B,understand why selective reabsorption of glucose occurs at the proximal convoluted tubule,1.4,2.77B
IGCSE 2.78B,describe the role of ADH in regulating the water content of the blood,1.3,2.78B
IGCSE 2.79B,"understand that urine contains water, urea and ions (j) Co-ordination and response Student",1.4,2.79B
IGCSE 2.80,understand how organisms are able to respond to changes in their environment,1.4,2.80
IGCSE 2.81,"understand that homeostasis is the maintenance of a constant internal environment, and tha",1.4,2.81
IGCSE 2.82,"understand that a co-ordinated response requires a stimulus, a receptor and an effector Fl",1.4,2.82
IGCSE 2.83,understand that plants respond to stimuli,1.4,2.83
IGCSE 2.84,describe the geotropic and phototropic responses of roots and stems,1.3,2.84
IGCSE 2.85,understand the role of auxin in the phototropic response of stems,1.4,2.85
IGCSE 2.86,describe how nervous and hormonal communication control responses and understand the diffe,1.3,2.86
IGCSE 2.87,understand that the central nervous system consists of the brain and spinal cord and is li,1.4,2.87
IGCSE 2.88,understand that stimulation of receptors in the sense organs sends electrical impulses alo,1.42,2.88
IGCSE 2.89,understand the role of neurotransmitters at synapses,1.4,2.89
IGCSE 2.90,describe the structure and functioning of a simple reflex arc illustrated by the withdrawa,1.3,2.90
IGCSE 2.91,describe the structure and function of the eye as a receptor,1.3,2.91
IGCSE 2.92,"understand the function of the eye in focusing on near and distant objects, and in respond",1.4,2.92
IGCSE 2.93,"describe the role of the skin in temperature regulation, with reference to sweating, vasoc",1.3,2.93
IGCSE 2.94,"understand the sources, roles and effects of the following hormones: adrenaline, insulin, ",1.4,2.94
IGCSE 2.95B,"understand the sources, roles and effects of the following hormones: ADH, FSH and LH",1.4,2.95B
IGCSE 3.1,understand the differences between sexual and asexual reproduction,1.4,3.1
IGCSE 3.2,understand that fertilisation involves the fusion of a male and female gamete to produce a,1.44,3.2
IGCSE 3.3,describe the structures of an insect-pollinated and a wind-pollinated flower and explain h,1.3,3.3
IGCSE 3.4,"million students studying our academic and vocational qualifications worldwide, we offer i",3.0,3.4
IGCSE 3.5,practical: investigate the conditions needed for seed germination,4.4,3.5
IGCSE 3.6,understand how germinating seeds utilise food reserves until the seedling can carry out ph,1.4,3.6
IGCSE 3.7,understand that plants can reproduce asexually by natural methods (illustrated by runners),1.4,3.7
IGCSE 3.8,understand how the structure of the male and female reproductive systems are adapted for t,1.4,3.8
IGCSE 3.9,understand the roles of oestrogen and progesterone in the menstrual cycle,1.4,3.9
IGCSE 3.10B,understand the roles of FSH and LH in the menstrual cycle,1.4,3.10B
IGCSE 3.11,describe the role of the placenta in the nutrition of the developing embryo,1.3,3.11
IGCSE 3.12,understand how the developing embryo is protected by amniotic fluid,1.4,3.12
IGCSE 3.13,understand the roles of oestrogen and testosterone in the development of secondary sexual ,1.4,3.13
IGCSE 3.14,understand that the genome is the entire DNA of an organism and that a gene is a section o,1.49,3.14
IGCSE 3.15,understand that the nucleus of a cell contains chromosomes on which genes are located,1.4,3.15
IGCSE 3.16B,"describe a DNA molecule as two strands coiled to form a double helix, the strands being li",1.5,3.16B
IGCSE 3.17B,understand that an RNA molecule is single stranded and contains uracil (U) instead of thym,1.4,3.17B
IGCSE 3.18B,"describe the stages of protein synthesis including transcription and translation, includin",1.3,3.18B
IGCSE 3.19,understand how genes exist in alternative forms called alleles which give rise to differen,1.4,3.19
IGCSE 3.20,"understand the meaning of the terms: dominant, recessive, homozygous, heterozygous, phenot",1.4,3.20
IGCSE 3.21B,understand the meaning of the term codominance,1.4,3.21B
IGCSE 3.22,understand that most phenotypic features are the result of polygenic inheritance rather th,1.4,3.22
IGCSE 3.23,describe patterns of monohybrid inheritance using a genetic diagram,1.3,3.23
IGCSE 3.24,understand how to interpret family pedigrees,1.4,3.24
IGCSE 3.25,predict probabilities of outcomes from monohybrid crosses,1.9,3.25
IGCSE 3.26,"understand how the sex of a person is controlled by one pair of chromosomes, XX in a femal",1.4,3.26
IGCSE 3.27,"describe the determination of the sex of offspring at fertilisation, using a genetic diagr",1.3,3.27
IGCSE 3.28,understand how division of a diploid cell by mitosis produces two cells that contain ident,1.4,3.28
IGCSE 3.29,"understand that mitosis occurs during growth, repair, cloning and asexual reproduction",1.4,3.29
IGCSE 3.30,"understand how division of a cell by meiosis produces four cells, each with half the numbe",1.51,3.30
IGCSE 3.31,understand how random fertilisation produces genetic variation of offspring,1.4,3.31
IGCSE 3.32,know that in human cells the diploid number of chromosomes is 46 and the haploid number is,1.05,3.32
IGCSE 3.33,"understand that variation within a species can be genetic, environmental, or a combination",1.4,3.33
IGCSE 3.34,"understand that mutation is a rare, random change in genetic material that can be inherite",1.4,3.34
IGCSE 3.35B,understand how a change in DNA can affect the phenotype by altering the sequence of amino ,1.4,3.35B
IGCSE 3.36B,"understand how most genetic mutations have no effect on the phenotype, some have a small e",1.4,3.36B
IGCSE 3.37B,understand that the incidence of mutations can be increased by exposure to ionising radiat,1.53,3.37B
IGCSE 3.38,explain Darwin’s theory of evolution by natural selection,1.7,3.38
IGCSE 3.39,"understand how resistance to antibiotics can increase in bacterial populations, and apprec",1.4,3.39
IGCSE 4.1,"understand the terms population, community, habitat and ecosystem",1.4,4.1
IGCSE 4.2,practical: investigate the population size of an organism in two different areas using qua,4.4,4.2
IGCSE 4.3B,understand the term biodiversity,1.4,4.3B
IGCSE 4.4B,practical: investigate the distribution of organisms in their habitats and measure biodive,4.4,4.4B
IGCSE 4.5,understand how abiotic and biotic factors affect the population size and distribution of o,1.4,4.5
IGCSE 4.6,"understand the names given to different trophic levels, including producers, primary, seco",1.4,4.6
IGCSE 4.7,"understand the concepts of food chains, food webs, pyramids of number, pyramids of biomass",1.4,4.7
IGCSE 4.8,understand the transfer of substances and energy along a food chain,1.4,4.8
IGCSE 4.9,understand why only about 10% of energy is transferred from one trophic level to the next ,1.4,4.9
IGCSE 4.10,"describe the stages in the carbon cycle, including respiration, photosynthesis, decomposit",1.3,4.10
IGCSE 4.11B,"describe the stages in the nitrogen cycle, including the roles of nitrogen fixing bacteria",1.34,4.11B
IGCSE 4.12,understand the biological consequences of pollution of air by sulfur dioxide and carbon mo,1.4,4.12
IGCSE 4.13,"understand that water vapour, carbon dioxide, nitrous oxide, methane and CFCs are greenhou",1.4,4.13
IGCSE 4.14,understand how human activities contribute to greenhouse gases,1.4,4.14
IGCSE 4.15,understand how an increase in greenhouse gases results in an enhanced greenhouse effect an,1.4,4.15
IGCSE 4.16,understand the biological consequences of pollution of water by sewage,1.4,4.16
IGCSE 4.17,understand the biological consequences of eutrophication caused by leached minerals from f,1.4,4.17
IGCSE 4.18B,"understand the effects of deforestation, including leaching, soil erosion, disturbance of ",1.4,4.18B
IGCSE 5.1,describe how glasshouses and polythene tunnels can be used to increase the yield of certai,1.3,5.1
IGCSE 5.2,understand the effects on crop yield of increased carbon dioxide and increased temperature,1.4,5.2
IGCSE 5.3,understand how the use of fertiliser can increase crop yield,1.4,5.3
IGCSE 5.4,understand the reasons for pest control and the advantages and disadvantages of using pest,1.4,5.4
IGCSE 5.5,understand the role of yeast in the production of food including bread,1.4,5.5
IGCSE 5.6,practical: investigate the role of anaerobic respiration by yeast in different conditions,4.4,5.6
IGCSE 5.7,understand the role of bacteria (Lactobacillus) in the production of yoghurt,1.4,5.7
IGCSE 5.8,understand the use of an industrial fermenter and explain the need to provide suitable con,1.67,5.8
IGCSE 5.9B,"understand the methods used to farm large numbers of fish to provide a source of protein, ",1.84,5.9B
IGCSE 5.10,understand how selective breeding can develop plants with desired characteristics,1.4,5.10
IGCSE 5.11,understand how selective breeding can develop animals with desired characteristics,1.4,5.11
IGCSE 5.12,understand how restriction enzymes are used to cut DNA at specific sites and ligase enzyme,1.4,5.12
IGCSE 5.13,"understand how plasmids and viruses can act as vectors, which take up pieces of DNA, and t",1.4,5.13
IGCSE 5.14,understand how large amounts of human insulin can be manufactured from genetically modifie,1.4,5.14
IGCSE 5.15,understand how genetically modified plants can be used to improve food production,1.4,5.15
IGCSE 5.16,understand that the term transgenic means the transfer of genetic material from one specie,1.4,5.16
IGCSE 5.17B,describe the process of micropropagation (tissue culture) in which explants are grown in v,1.3,5.17B
IGCSE 5.18B,understand how micropropagation can be used to produce commercial quantities of geneticall,1.4,5.18B
IGCSE 5.19B,describe the stages in the production of cloned mammals involving the introduction of a di,1.41,5.19B
IGCSE 5.20B,understand how cloned transgenic animals can be used to produce human proteins,1.4,5.20B
